:man_standing: | 77918A
:people_holding_hands: | C5A07D
:couple: | C89D7A
:two_women_holding_hands: | C39D7E
:two_men_holding_hands: | B39F77
:couple_with_heart: | DA9B5E
:couple_with_heart_woman_man: | D89C6C
:couple_ww: | D09B69
:couple_mm: | C49C79
:couplekiss: | E1A854
:kiss_woman_man: | E5A746
:kiss_ww: | E8A949
:kiss_mm: | D4A56F
:family_adult_adult_child_child: | A8B8CD
:family_adult_adult_child: | A1BAD6
:family_adult_child_child: | 83A7CD
:family_adult_child: | 86A7CD
:family: | A4BCD7
:family_man_woman_boy: | A8BCD6
:family_mwg: | A8BDD6
:family_mwgb: | A5BAD5
:family_mwbb: | A2BDD9
:family_mwgg: | A2BAD4
:family_wwb: | A5BBD4
:family_wwg: | A9BAD5
:family_wwb: | A8C0DB
:family_wwg: | A8C0DB
:family_wwgb: | A2BBD6
:family_wwbb: | A6B8D4
:family_wwgg: | ABC1D7
:family_mmb: | AAC0D8
:family_mmg: | A6BFDC
:family_mmgb: | A3BDDB
:family_mmbb: | A5BDD8
:family_mmgg: | A4BCD5
:family_woman_boy: | 83A7CC
:family_woman_girl: | 83A3C8
:family_woman_girl_boy: | 82A5CB
:family_woman_boy_boy: | 80A7CE
:family_woman_girl_girl: | 81A7CE
:family_man_boy: | 83A7CE
:family_man_girl: | 86AACE
:family_man_girl_boy: | 87AAD0
:family_man_boy_boy: | 86AACF
:family_man_girl_girl: | 89ACD0
:knot: | 5C96C1
:yarn: | 4879AC
:thread: | 714B8D
:sewing_needle: | 6D8199
:coat: | 5799CF
:lab_coat: | BDC3C8
:safety_vest: | D89E56
:womans_clothes: | 9779B8
:shirt: | 2F81BC
:jeans: | 4F7FAF
:briefs: | 467DA6
:shorts: | 6FA281
:necktie: | 929EC5
:dress: | 6FA9D9
:bikini: | 937581
:one_piece_swimsuit: | 9F819E
:kimono: | 779CBF
:sari: | 869E83
:thong_sandal: | 76ADD4
:womans_flat_shoe: | 6F7A82
:high_heel: | A05D73
:sandal: | AA757B
:boot: | A7706F
:mans_shoe: | 937078
:athletic_shoe: | AD7B8A
